Entidad federativa,Grupos quinquenales de edad,Estimador,Población total,Hombres,Mujeres
01 Aguascalientes,30-34 años,Valor,"95,440","45,266","50,174"
01 Aguascalientes,30-34 años,Error estándar,"2,754","1,447","1,508"
01 Aguascalientes,30-34 años,Límite inferior de confianza,"90,908","42,884","47,692"
01 Aguascalientes,30-34 años,Límite superior de confianza,"99,972","47,648","52,656"
01 Aguascalientes,30-34 años,Coeficiente de variación,2.89,3.2,3.01
01 Aguascalientes,30-34 años,DEFF,0.95,1.06,0.98
01 Aguascalientes,35-39 años,Valor,"90,310","43,401","46,909"
01 Aguascalientes,35-39 años,Error estándar,"2,720","1,407","1,501"
01 Aguascalientes,35-39 años,Límite inferior de confianza,"85,833","41,086","44,439"
01 Aguascalientes,35-39 años,Límite superior de confianza,"94,787","45,716","49,379"
01 Aguascalientes,35-39 años,Coeficiente de variación,3.01,3.24,3.2
01 Aguascalientes,35-39 años,DEFF,0.96,1.03,1.01
01 Aguascalientes,40-44 años,Valor,"88,597","40,678","47,919"
01 Aguascalientes,40-44 años,Error estándar,"2,772","1,360","1,589"
01 Aguascalientes,40-44 años,Límite inferior de confianza,"84,035","38,439","45,303"
01 Aguascalientes,40-44 años,Límite superior de confianza,"93,159","42,917","50,535"
01 Aguascalientes,40-44 años,Coeficiente de variación,3.13,3.34,3.32
01 Aguascalientes,40-44 años,DEFF,1.05,1.07,1.15
01 Aguascalientes,45-49 años,Valor,"70,680","32,518","38,162"
01 Aguascalientes,45-49 años,Error estándar,"2,254","1,184","1,278"
01 Aguascalientes,45-49 años,Límite inferior de confianza,"66,971","30,570","36,059"
01 Aguascalientes,45-49 años,Límite superior de confianza,"74,389","34,466","40,265"
01 Aguascalientes,45-49 años,Coeficiente de variación,3.19,3.64,3.35
01 Aguascalientes,45-49 años,DEFF,1.11,1.24,1.18
01 Aguascalientes,50-54 años,Valor,"62,161","29,160","33,001"
01 Aguascalientes,50-54 años,Error estándar,"2,119","1,088","1,202"
01 Aguascalientes,50-54 años,Límite inferior de confianza,"58,673","27,370","31,022"
01 Aguascalientes,50-54 años,Límite superior de confianza,"65,649","30,950","34,980"
01 Aguascalientes,50-54 años,Coeficiente de variación,3.41,3.73,3.64
01 Aguascalientes,50-54 años,DEFF,1.21,1.37,1.21
01 Aguascalientes,55-59 años,Valor,"48,879","23,192","25,687"
01 Aguascalientes,55-59 años,Error estándar,"1,891","1,016","1,057"
01 Aguascalientes,55-59 años,Límite inferior de confianza,"45,767","21,521","23,948"
01 Aguascalientes,55-59 años,Límite superior de confianza,"51,991","24,863","27,426"
01 Aguascalientes,55-59 años,Coeficiente de variación,3.87,4.38,4.11
01 Aguascalientes,55-59 años,DEFF,1.46,1.67,1.49
01 Aguascalientes,60-64 años,Valor,"37,599","17,805","19,794"
01 Aguascalientes,60-64 años,Error estándar,"1,517",794,887
01 Aguascalientes,60-64 años,Límite inferior de confianza,"35,102","16,497","18,334"
01 Aguascalientes,60-64 años,Límite superior de confianza,"40,096","19,113","21,254"
01 Aguascalientes,60-64 años,Coeficiente de variación,4.04,4.46,4.48
01 Aguascalientes,60-64 años,DEFF,1.44,1.57,1.54
01 Aguascalientes,65-69 años,Valor,"27,203","12,770","14,433"
01 Aguascalientes,65-69 años,Error estándar,"1,116",599,699
01 Aguascalientes,65-69 años,Límite inferior de confianza,"25,366","11,784","13,283"
01 Aguascalientes,65-69 años,Límite superior de confianza,"29,040","13,756","15,583"
01 Aguascalientes,65-69 años,Coeficiente de variación,4.1,4.69,4.84
01 Aguascalientes,65-69 años,DEFF,1.38,1.55,1.57
01 Aguascalientes,70-74 años,Valor,"19,792","9,544","10,248"
01 Aguascalientes,70-74 años,Error estándar,"1,034",555,615
01 Aguascalientes,70-74 años,Límite inferior de confianza,"18,091","8,630","9,236"
01 Aguascalientes,70-74 años,Límite superior de confianza,"21,493","10,458","11,260"
01 Aguascalientes,70-74 años,Coeficiente de variación,5.22,5.82,6
01 Aguascalientes,70-74 años,DEFF,1.79,1.88,1.9
01 Aguascalientes,75 años y más,Valor,"28,415","12,105","16,310"
01 Aguascalientes,75 años y más,Error estándar,"1,267",590,822
01 Aguascalientes,75 años y más,Límite inferior de confianza,"26,329","11,134","14,957"
01 Aguascalientes,75 años y más,Límite superior de confianza,"30,501","13,076","17,663"
01 Aguascalientes,75 años y más,Coeficiente de variación,4.46,4.88,5.04
01 Aguascalientes,75 años y más,DEFF,1.49,1.46,1.71
01 Aguascalientes,No especificado,Valor,709,276,433
01 Aguascalientes,No especificado,Error estándar,152,76,97
01 Aguascalientes,No especificado,Límite inferior de confianza,459,151,273
01 Aguascalientes,No especificado,Límite superior de confianza,959,401,593
01 Aguascalientes,No especificado,Coeficiente de variación,21.4,27.46,22.38
01 Aguascalientes,No especificado,DEFF,1.99,1.82,2.06
02 Baja California,Total,Valor,"3,315,766","1,650,341","1,665,425"
02 Baja California,Total,Error estándar,"69,938","35,700","34,819"
02 Baja California,Total,Límite inferior de confianza,"3,200,681","1,591,595","1,608,129"
02 Baja California,Total,Límite superior de confianza,"3,430,851","1,709,087","1,722,721"
02 Baja California,Total,Coeficiente de variación,2.11,2.16,2.09
02 Baja California,Total,DEFF,1.79,1.02,0.95
02 Baja California,00-04 años,Valor,"280,637","142,279","138,358"
02 Baja California,00-04 años,Error estándar,"7,456","4,401","3,686"
02 Baja California,00-04 años,Límite inferior de confianza,"268,368","135,037","132,292"
02 Baja California,00-04 años,Límite superior de confianza,"292,906","149,521","144,424"
02 Baja California,00-04 años,Coeficiente de variación,2.66,3.09,2.66
02 Baja California,00-04 años,DEFF,0.89,1.05,0.83
02 Baja California,05-09 años,Valor,"300,330","152,154","148,176"
02 Baja California,05-09 años,Error estándar,"7,813","4,228","4,075"
02 Baja California,05-09 años,Límite inferior de confianza,"287,474","145,197","141,470"
02 Baja California,05-09 años,Límite superior de confianza,"313,186","159,111","154,882"
02 Baja California,05-09 años,Coeficiente de variación,2.6,2.78,2.75
02 Baja California,05-09 años,DEFF,0.88,0.93,0.88
02 Baja California,10-14 años,Valor,"306,547","154,548","151,999"
02 Baja California,10-14 años,Error estándar,"7,267","4,257","3,994"
02 Baja California,10-14 años,Límite inferior de confianza,"294,589","147,542","145,426"
02 Baja California,10-14 años,Límite superior de confianza,"318,505","161,554","158,572"
02 Baja California,10-14 años,Coeficiente de variación,2.37,2.75,2.63
02 Baja California,10-14 años,DEFF,0.74,0.9,0.84
02 Baja California,15-19 años,Valor,"297,964","151,811","146,153"
02 Baja California,15-19 años,Error estándar,"7,320","3,984","3,903"
02 Baja California,15-19 años,Límite inferior de confianza,"285,919","145,256","139,730"
02 Baja California,15-19 años,Límite superior de confianza,"310,009","158,366","152,576"
02 Baja California,15-19 años,Coeficiente de variación,2.46,2.62,2.67
02 Baja California,15-19 años,DEFF,0.79,0.83,0.83
02 Baja California,20-24 años,Valor,"303,190","151,887","151,303"
02 Baja California,20-24 años,Error estándar,"7,720","4,516","3,843"
02 Baja California,20-24 años,Límite inferior de confianza,"290,487","144,456","144,979"
02 Baja California,20-24 años,Límite superior de confianza,"315,893","159,318","157,627"
02 Baja California,20-24 años,Coeficiente de variación,2.55,2.97,2.54
02 Baja California,20-24 años,DEFF,0.86,1.05,0.79
02 Baja California,25-29 años,Valor,"278,003","135,511","142,492"
02 Baja California,25-29 años,Error estándar,"7,226","3,872","3,892"
02 Baja California,25-29 años,Límite inferior de confianza,"266,113","129,139","136,087"
02 Baja California,25-29 años,Límite superior de confianza,"289,893","141,883","148,897"
02 Baja California,25-29 años,Coeficiente de variación,2.6,2.86,2.73
02 Baja California,25-29 años,DEFF,0.91,0.99,0.93
02 Baja California,30-34 años,Valor,"260,846","129,848","130,998"
02 Baja California,30-34 años,Error estándar,"6,659","3,516","3,543"
02 Baja California,30-34 años,Límite inferior de confianza,"249,888","124,063","125,168"
02 Baja California,30-34 años,Límite superior de confianza,"271,804","135,633","136,828"
02 Baja California,30-34 años,Coeficiente de variación,2.55,2.71,2.7
02 Baja California,30-34 años,DEFF,0.85,0.87,0.88
02 Baja California,35-39 años,Valor,"254,074","124,218","129,856"
02 Baja California,35-39 años,Error estándar,"6,472","3,285","3,627"
02 Baja California,35-39 años,Límite inferior de confianza,"243,424","118,812","123,888"
02 Baja California,35-39 años,Límite superior de confianza,"264,724","129,624","135,824"
02 Baja California,35-39 años,Coeficiente de variación,2.55,2.64,2.79
02 Baja California,35-39 años,DEFF,0.85,0.87,0.89
02 Baja California,40-44 años,Valor,"251,522","126,874","124,648"
02 Baja California,40-44 años,Error estándar,"6,783","3,645","3,617"
02 Baja California,40-44 años,Límite inferior de confianza,"240,360","120,876","118,696"
02 Baja California,40-44 años,Límite superior de confianza,"262,684","132,872","130,600"
02 Baja California,40-44 años,Coeficiente de variación,2.7,2.87,2.9
02 Baja California,40-44 años,DEFF,0.9,0.91,0.98
02 Baja California,45-49 años,Valor,"198,962","100,569","98,393"
02 Baja California,45-49 años,Error estándar,"5,014","2,647","2,820"
02 Baja California,45-49 años,Límite inferior de confianza,"190,712","96,213","93,753"
02 Baja California,45-49 años,Límite superior de confianza,"207,212","104,925","103,033"
02 Baja California,45-49 años,Coeficiente de variación,2.52,2.63,2.87
02 Baja California,45-49 años,DEFF,0.82,0.81,0.95
02 Baja California,50-54 años,Valor,"174,381","87,536","86,845"
02 Baja California,50-54 años,Error estándar,"4,405","2,404","2,433"
02 Baja California,50-54 años,Límite inferior de confianza,"167,132","83,579","82,842"
02 Baja California,50-54 años,Límite superior de confianza,"181,630","91,493","90,848"
02 Baja California,50-54 años,Coeficiente de variación,2.53,2.75,2.8
02 Baja California,50-54 años,DEFF,0.82,0.89,0.88
02 Baja California,55-59 años,Valor,"127,019","61,735","65,284"
02 Baja California,55-59 años,Error estándar,"3,692","1,930","2,169"
02 Baja California,55-59 años,Límite inferior de confianza,"120,943","58,560","61,715"
02 Baja California,55-59 años,Límite superior de confianza,"133,095","64,910","68,853"
02 Baja California,55-59 años,Coeficiente de variación,2.91,3.13,3.32
02 Baja California,55-59 años,DEFF,1.03,1.01,1.17
02 Baja California,60-64 años,Valor,"100,896","47,479","53,417"
02 Baja California,60-64 años,Error estándar,"3,132","1,646","1,831"
02 Baja California,60-64 años,Límite inferior de confianza,"95,743","44,771","50,404"
02 Baja California,60-64 años,Límite superior de confianza,"106,049","50,187","56,430"
02 Baja California,60-64 años,Coeficiente de variación,3.1,3.47,3.43
02 Baja California,60-64 años,DEFF,1.07,1.12,1.13
02 Baja California,65-69 años,Valor,"69,522","31,300","38,222"
02 Baja California,65-69 años,Error estándar,"2,347","1,179","1,527"
02 Baja California,65-69 años,Límite inferior de confianza,"65,660","29,360","35,710"
02 Baja California,65-69 años,Límite superior de confianza,"73,384","33,240","40,734"
02 Baja California,65-69 años,Coeficiente de variación,3.38,3.77,3.99
02 Baja California,65-69 años,DEFF,1.12,1.12,1.3
02 Baja California,70-74 años,Valor,"46,249","22,559","23,690"
02 Baja California,70-74 años,Error estándar,"1,741","1,005","1,037"
02 Baja California,70-74 años,Límite inferior de confianza,"43,383","20,905","21,983"
02 Baja California,70-74 años,Límite superior de confianza,"49,115","24,213","25,397"
02 Baja California,70-74 años,Coeficiente de variación,3.77,4.45,4.38
02 Baja California,70-74 años,DEFF,1.19,1.3,1.27
02 Baja California,75 años y más,Valor,"63,970","29,088","34,882"
02 Baja California,75 años y más,Error estándar,"2,498","1,272","1,502"
02 Baja California,75 años y más,Límite inferior de confianza,"59,860","26,995","32,411"
02 Baja California,75 años y más,Límite superior de confianza,"68,080","31,181","37,353"
02 Baja California,75 años y más,Coeficiente de variación,3.9,4.37,4.31
02 Baja California,75 años y más,DEFF,1.37,1.43,1.39
02 Baja California,No especificado,Valor,"1,654",945,709
02 Baja California,No especificado,Error estándar,340,213,166
02 Baja California,No especificado,Límite inferior de confianza,"1,095",594,435
02 Baja California,No especificado,Límite superior de confianza,"2,213","1,296",983
02 Baja California,No especificado,Coeficiente de variación,20.53,22.59,23.45
02 Baja California,No especificado,DEFF,1.88,1.75,1.74
03 Baja California Sur,Total,Valor,"712,029","359,137","352,892"
03 Baja California Sur,Total,Error estándar,"22,113","11,433","10,905"
03 Baja California Sur,Total,Límite inferior de confianza,"675,628","340,317","334,941"
03 Baja California Sur,Total,Límite superior de confianza,"748,430","377,957","370,843"
03 Baja California Sur,Total,Coeficiente de variación,3.11,3.18,3.09
03 Baja California Sur,Total,DEFF,3.27,1.47,1.4
03 Baja California Sur,00-04 años,Valor,"62,513","30,604","31,909"
03 Baja California Sur,00-04 años,Error estándar,"2,430","1,393","1,255"
03 Baja California Sur,00-04 años,Límite inferior de confianza,"58,513","28,312","29,843"
03 Baja California Sur,00-04 años,Límite superior de confianza,"66,513","32,896","33,975"
03 Baja California Sur,00-04 años,Coeficiente de variación,3.89,4.55,3.93
03 Baja California Sur,00-04 años,DEFF,1.15,1.35,1.07
03 Baja California Sur,05-09 años,Valor,"62,959","31,286","31,673"
03 Baja California Sur,05-09 años,Error estándar,"2,213","1,166","1,293"
03 Baja California Sur,05-09 años,Límite inferior de confianza,"59,317","29,367","29,544"
03 Baja California Sur,05-09 años,Límite superior de confianza,"66,601","33,205","33,802"
03 Baja California Sur,05-09 años,Coeficiente de variación,3.51,3.73,4.08
03 Baja California Sur,05-09 años,DEFF,0.96,0.95,1.14
03 Baja California Sur,10-14 años,Valor,"64,031","32,425","31,606"
03 Baja California Sur,10-14 años,Error estándar,"2,861","1,619","1,547"
03 Baja California Sur,10-14 años,Límite inferior de confianza,"59,322","29,760","29,060"
03 Baja California Sur,10-14 años,Límite superior de confianza,"68,740","35,090","34,152"
03 Baja California Sur,10-14 años,Coeficiente de variación,4.47,4.99,4.89
03 Baja California Sur,10-14 años,DEFF,1.57,1.7,1.64
03 Baja California Sur,15-19 años,Valor,"62,023","32,225","29,798"
03 Baja California Sur,15-19 años,Error estándar,"2,302","1,182","1,391"
03 Baja California Sur,15-19 años,Límite inferior de confianza,"58,233","30,279","27,508"
03 Baja California Sur,15-19 años,Límite superior de confianza,"65,813","34,171","32,088"
03 Baja California Sur,15-19 años,Coeficiente de variación,3.71,3.67,4.67
03 Baja California Sur,15-19 años,DEFF,1.08,0.97,1.45
03 Baja California Sur,20-24 años,Valor,"64,077","32,943","31,134"
03 Baja California Sur,20-24 años,Error estándar,"2,567","1,816","1,160"
03 Baja California Sur,20-24 años,Límite inferior de confianza,"59,852","29,953","29,224"
03 Baja California Sur,20-24 años,Límite superior de confianza,"68,302","35,933","33,044"
03 Baja California Sur,20-24 años,Coeficiente de variación,4.01,5.51,3.73
03 Baja California Sur,20-24 años,DEFF,1.23,1.94,0.99
03 Baja California Sur,25-29 años,Valor,"59,244","29,845","29,399"
03 Baja California Sur,25-29 años,Error estándar,"2,344","1,365","1,154"
03 Baja California Sur,25-29 años,Límite inferior de confianza,"55,385","27,598","27,500"
03 Baja California Sur,25-29 años,Límite superior de confianza,"63,103","32,092","31,298"
03 Baja California Sur,25-29 años,Coeficiente de variación,3.96,4.57,3.92
03 Baja California Sur,25-29 años,DEFF,1.21,1.38,1.1
03 Baja California Sur,30-34 años,Valor,"61,495","31,840","29,655"
