Entidad federativa,Grupos quinquenales de edad,Estimador,Población total,Hombres,Mujeres
16 Michoacán de Ocampo,35-39 años,Límite inferior de confianza,"299,472","140,793","158,234"
16 Michoacán de Ocampo,35-39 años,Límite superior de confianza,"312,612","147,293","165,764"
16 Michoacán de Ocampo,35-39 años,Coeficiente de variación,1.31,1.37,1.41
16 Michoacán de Ocampo,35-39 años,DEFF,1.43,1.43,1.51
16 Michoacán de Ocampo,40-44 años,Valor,"287,097","135,905","151,192"
16 Michoacán de Ocampo,40-44 años,Error estándar,"3,828","1,994","2,076"
16 Michoacán de Ocampo,40-44 años,Límite inferior de confianza,"280,800","132,626","147,777"
16 Michoacán de Ocampo,40-44 años,Límite superior de confianza,"293,394","139,184","154,607"
16 Michoacán de Ocampo,40-44 años,Coeficiente de variación,1.33,1.47,1.37
16 Michoacán de Ocampo,40-44 años,DEFF,1.47,1.58,1.44
16 Michoacán de Ocampo,45-49 años,Valor,"236,265","108,809","127,456"
16 Michoacán de Ocampo,45-49 años,Error estándar,"2,930","1,600","1,769"
16 Michoacán de Ocampo,45-49 años,Límite inferior de confianza,"231,445","106,177","124,546"
16 Michoacán de Ocampo,45-49 años,Límite superior de confianza,"241,085","111,441","130,366"
16 Michoacán de Ocampo,45-49 años,Coeficiente de variación,1.24,1.47,1.39
16 Michoacán de Ocampo,45-49 años,DEFF,1.31,1.63,1.47
16 Michoacán de Ocampo,50-54 años,Valor,"221,170","102,534","118,636"
16 Michoacán de Ocampo,50-54 años,Error estándar,"2,990","1,614","1,734"
16 Michoacán de Ocampo,50-54 años,Límite inferior de confianza,"216,251","99,879","115,783"
16 Michoacán de Ocampo,50-54 años,Límite superior de confianza,"226,089","105,189","121,489"
16 Michoacán de Ocampo,50-54 años,Coeficiente de variación,1.35,1.57,1.46
16 Michoacán de Ocampo,50-54 años,DEFF,1.49,1.79,1.54
16 Michoacán de Ocampo,55-59 años,Valor,"179,543","83,350","96,193"
16 Michoacán de Ocampo,55-59 años,Error estándar,"2,555","1,305","1,541"
16 Michoacán de Ocampo,55-59 años,Límite inferior de confianza,"175,341","81,203","93,658"
16 Michoacán de Ocampo,55-59 años,Límite superior de confianza,"183,745","85,497","98,728"
16 Michoacán de Ocampo,55-59 años,Coeficiente de variación,1.42,1.57,1.6
16 Michoacán de Ocampo,55-59 años,DEFF,1.56,1.62,1.73
16 Michoacán de Ocampo,60-64 años,Valor,"144,511","68,458","76,053"
16 Michoacán de Ocampo,60-64 años,Error estándar,"2,440","1,216","1,466"
16 Michoacán de Ocampo,60-64 años,Límite inferior de confianza,"140,498","66,457","73,642"
16 Michoacán de Ocampo,60-64 años,Límite superior de confianza,"148,524","70,459","78,464"
16 Michoacán de Ocampo,60-64 años,Coeficiente de variación,1.69,1.78,1.93
16 Michoacán de Ocampo,60-64 años,DEFF,2,1.91,2.21
16 Michoacán de Ocampo,65-69 años,Valor,"120,252","55,728","64,524"
16 Michoacán de Ocampo,65-69 años,Error estándar,"1,969","1,048","1,157"
16 Michoacán de Ocampo,65-69 años,Límite inferior de confianza,"117,013","54,005","62,620"
16 Michoacán de Ocampo,65-69 años,Límite superior de confianza,"123,491","57,451","66,428"
16 Michoacán de Ocampo,65-69 años,Coeficiente de variación,1.64,1.88,1.79
16 Michoacán de Ocampo,65-69 años,DEFF,1.79,1.91,1.86
16 Michoacán de Ocampo,70-74 años,Valor,"90,586","42,283","48,303"
16 Michoacán de Ocampo,70-74 años,Error estándar,"1,479",769,956
16 Michoacán de Ocampo,70-74 años,Límite inferior de confianza,"88,152","41,019","46,730"
16 Michoacán de Ocampo,70-74 años,Límite superior de confianza,"93,020","43,547","49,876"
16 Michoacán de Ocampo,70-74 años,Coeficiente de variación,1.63,1.82,1.98
16 Michoacán de Ocampo,70-74 años,DEFF,1.67,1.67,1.97
16 Michoacán de Ocampo,75 años y más,Valor,"155,346","72,306","83,040"
16 Michoacán de Ocampo,75 años y más,Error estándar,"2,328","1,147","1,417"
16 Michoacán de Ocampo,75 años y más,Límite inferior de confianza,"151,517","70,420","80,710"
16 Michoacán de Ocampo,75 años y más,Límite superior de confianza,"159,175","74,192","85,370"
16 Michoacán de Ocampo,75 años y más,Coeficiente de variación,1.5,1.59,1.71
16 Michoacán de Ocampo,75 años y más,DEFF,1.47,1.46,1.63
16 Michoacán de Ocampo,No especificado,Valor,"2,887","1,286","1,601"
16 Michoacán de Ocampo,No especificado,Error estándar,258,135,163
16 Michoacán de Ocampo,No especificado,Límite inferior de confianza,"2,462","1,064","1,333"
16 Michoacán de Ocampo,No especificado,Límite superior de confianza,"3,312","1,508","1,869"
16 Michoacán de Ocampo,No especificado,Coeficiente de variación,8.95,10.49,10.17
16 Michoacán de Ocampo,No especificado,DEFF,3.05,2.73,2.84
17 Morelos,Total,Valor,"1,903,811","914,906","988,905"
17 Morelos,Total,Error estándar,"33,325","15,788","17,837"
17 Morelos,Total,Límite inferior de confianza,"1,848,983","888,931","959,559"
17 Morelos,Total,Límite superior de confianza,"1,958,639","940,881","1,018,251"
17 Morelos,Total,Coeficiente de variación,1.75,1.73,1.8
17 Morelos,Total,DEFF,1.63,0.94,1.07
17 Morelos,00-04 años,Valor,"157,558","80,137","77,421"
17 Morelos,00-04 años,Error estándar,"3,095","1,700","1,697"
17 Morelos,00-04 años,Límite inferior de confianza,"152,466","77,340","74,629"
17 Morelos,00-04 años,Límite superior de confianza,"162,650","82,934","80,213"
17 Morelos,00-04 años,Coeficiente de variación,1.96,2.12,2.19
17 Morelos,00-04 años,DEFF,0.83,0.9,0.97
17 Morelos,05-09 años,Valor,"164,416","83,849","80,567"
17 Morelos,05-09 años,Error estándar,"3,235","1,796","1,775"
17 Morelos,05-09 años,Límite inferior de confianza,"159,094","80,894","77,647"
17 Morelos,05-09 años,Límite superior de confianza,"169,738","86,804","83,487"
17 Morelos,05-09 años,Coeficiente de variación,1.97,2.14,2.2
17 Morelos,05-09 años,DEFF,0.85,0.94,1
17 Morelos,10-14 años,Valor,"169,614","86,160","83,454"
17 Morelos,10-14 años,Error estándar,"3,340","1,708","1,922"
17 Morelos,10-14 años,Límite inferior de confianza,"164,118","83,349","80,291"
17 Morelos,10-14 años,Límite superior de confianza,"175,110","88,971","86,617"
17 Morelos,10-14 años,Coeficiente de variación,1.97,1.98,2.3
17 Morelos,10-14 años,DEFF,0.84,0.79,1.09
17 Morelos,15-19 años,Valor,"169,269","84,029","85,240"
17 Morelos,15-19 años,Error estándar,"3,293","1,733","1,857"
17 Morelos,15-19 años,Límite inferior de confianza,"163,851","81,178","82,184"
17 Morelos,15-19 años,Límite superior de confianza,"174,687","86,880","88,296"
17 Morelos,15-19 años,Coeficiente de variación,1.95,2.06,2.18
17 Morelos,15-19 años,DEFF,0.81,0.85,0.96
17 Morelos,20-24 años,Valor,"174,065","85,098","88,967"
17 Morelos,20-24 años,Error estándar,"3,618","1,892","2,057"
17 Morelos,20-24 años,Límite inferior de confianza,"168,112","81,986","85,583"
17 Morelos,20-24 años,Límite superior de confianza,"180,018","88,210","92,351"
17 Morelos,20-24 años,Coeficiente de variación,2.08,2.22,2.31
17 Morelos,20-24 años,DEFF,0.91,0.95,1.11
17 Morelos,25-29 años,Valor,"146,791","69,828","76,963"
17 Morelos,25-29 años,Error estándar,"3,261","1,667","1,814"
17 Morelos,25-29 años,Límite inferior de confianza,"141,426","67,086","73,978"
17 Morelos,25-29 años,Límite superior de confianza,"152,156","72,570","79,948"
17 Morelos,25-29 años,Coeficiente de variación,2.22,2.39,2.36
17 Morelos,25-29 años,DEFF,1.1,1.18,1.18
17 Morelos,30-34 años,Valor,"135,657","63,366","72,291"
17 Morelos,30-34 años,Error estándar,"2,927","1,462","1,663"
17 Morelos,30-34 años,Límite inferior de confianza,"130,841","60,961","69,555"
17 Morelos,30-34 años,Límite superior de confianza,"140,473","65,771","75,027"
17 Morelos,30-34 años,Coeficiente de variación,2.16,2.31,2.3
17 Morelos,30-34 años,DEFF,1.02,1.07,1.11
17 Morelos,35-39 años,Valor,"134,020","61,394","72,626"
17 Morelos,35-39 años,Error estándar,"3,021","1,506","1,805"
17 Morelos,35-39 años,Límite inferior de confianza,"129,050","58,917","69,656"
17 Morelos,35-39 años,Límite superior de confianza,"138,990","63,871","75,596"
17 Morelos,35-39 años,Coeficiente de variación,2.25,2.45,2.49
17 Morelos,35-39 años,DEFF,1.14,1.22,1.34
17 Morelos,40-44 años,Valor,"128,392","59,546","68,846"
17 Morelos,40-44 años,Error estándar,"2,677","1,386","1,550"
17 Morelos,40-44 años,Límite inferior de confianza,"123,988","57,265","66,296"
17 Morelos,40-44 años,Límite superior de confianza,"132,796","61,827","71,396"
17 Morelos,40-44 años,Coeficiente de variación,2.08,2.33,2.25
17 Morelos,40-44 años,DEFF,0.95,1.08,1.07
17 Morelos,45-49 años,Valor,"110,296","50,600","59,696"
17 Morelos,45-49 años,Error estándar,"2,473","1,234","1,488"
17 Morelos,45-49 años,Límite inferior de confianza,"106,227","48,569","57,247"
17 Morelos,45-49 años,Límite superior de confianza,"114,365","52,631","62,145"
17 Morelos,45-49 años,Coeficiente de variación,2.24,2.44,2.49
17 Morelos,45-49 años,DEFF,1.1,1.16,1.29
17 Morelos,50-54 años,Valor,"102,794","48,290","54,504"
17 Morelos,50-54 años,Error estándar,"2,144","1,159","1,255"
17 Morelos,50-54 años,Límite inferior de confianza,"99,267","46,383","52,439"
17 Morelos,50-54 años,Límite superior de confianza,"106,321","50,197","56,569"
17 Morelos,50-54 años,Coeficiente de variación,2.09,2.4,2.3
17 Morelos,50-54 años,DEFF,1,1.23,1.11
17 Morelos,55-59 años,Valor,"84,406","38,832","45,574"
17 Morelos,55-59 años,Error estándar,"1,939","1,060","1,153"
17 Morelos,55-59 años,Límite inferior de confianza,"81,217","37,088","43,677"
17 Morelos,55-59 años,Límite superior de confianza,"87,595","40,576","47,471"
17 Morelos,55-59 años,Coeficiente de variación,2.3,2.73,2.53
17 Morelos,55-59 años,DEFF,1.15,1.43,1.28
17 Morelos,60-64 años,Valor,"68,085","31,807","36,278"
17 Morelos,60-64 años,Error estándar,"1,524",805,976
17 Morelos,60-64 años,Límite inferior de confianza,"65,578","30,482","34,672"
17 Morelos,60-64 años,Límite superior de confianza,"70,592","33,132","37,884"
17 Morelos,60-64 años,Coeficiente de variación,2.24,2.53,2.69
17 Morelos,60-64 años,DEFF,1.04,1.11,1.38
17 Morelos,65-69 años,Valor,"51,760","24,165","27,595"
17 Morelos,65-69 años,Error estándar,"1,300",668,935
17 Morelos,65-69 años,Límite inferior de confianza,"49,621","23,067","26,057"
17 Morelos,65-69 años,Límite superior de confianza,"53,899","25,263","29,133"
17 Morelos,65-69 años,Coeficiente de variación,2.51,2.76,3.39
17 Morelos,65-69 años,DEFF,1.28,1.29,1.99
17 Morelos,70-74 años,Valor,"40,022","18,134","21,888"
17 Morelos,70-74 años,Error estándar,"1,228",615,824
17 Morelos,70-74 años,Límite inferior de confianza,"38,002","17,122","20,533"
17 Morelos,70-74 años,Límite superior de confianza,"42,042","19,146","23,243"
17 Morelos,70-74 años,Coeficiente de variación,3.07,3.39,3.76
17 Morelos,70-74 años,DEFF,1.68,1.61,2.2
17 Morelos,75 años y más,Valor,"65,245","29,021","36,224"
17 Morelos,75 años y más,Error estándar,"1,650",921,"1,018"
17 Morelos,75 años y más,Límite inferior de confianza,"62,530","27,506","34,550"
17 Morelos,75 años y más,Límite superior de confianza,"67,960","30,536","37,898"
17 Morelos,75 años y más,Coeficiente de variación,2.53,3.17,2.81
17 Morelos,75 años y más,DEFF,1.26,1.71,1.42
17 Morelos,No especificado,Valor,"1,421",650,771
17 Morelos,No especificado,Error estándar,170,93,98
17 Morelos,No especificado,Límite inferior de confianza,"1,142",496,609
17 Morelos,No especificado,Límite superior de confianza,"1,700",804,933
17 Morelos,No especificado,Coeficiente de variación,11.93,14.37,12.73
17 Morelos,No especificado,DEFF,1.66,1.69,1.56
18 Nayarit,Total,Valor,"1,181,050","586,000","595,050"
18 Nayarit,Total,Error estándar,"22,790","11,020","12,072"
18 Nayarit,Total,Límite inferior de confianza,"1,143,553","567,868","575,188"
18 Nayarit,Total,Límite superior de confianza,"1,218,547","604,132","614,912"
18 Nayarit,Total,Coeficiente de variación,1.93,1.88,2.03
18 Nayarit,Total,DEFF,3.67,1.46,1.65
18 Nayarit,00-04 años,Valor,"114,799","58,506","56,293"
18 Nayarit,00-04 años,Error estándar,"2,784","1,582","1,524"
18 Nayarit,00-04 años,Límite inferior de confianza,"110,218","55,903","53,786"
18 Nayarit,00-04 años,Límite superior de confianza,"119,380","61,109","58,800"
18 Nayarit,00-04 años,Coeficiente de variación,2.43,2.7,2.71
18 Nayarit,00-04 años,DEFF,1.16,1.33,1.28
18 Nayarit,05-09 años,Valor,"113,899","58,255","55,644"
18 Nayarit,05-09 años,Error estándar,"2,574","1,456","1,466"
18 Nayarit,05-09 años,Límite inferior de confianza,"109,665","55,859","53,232"
18 Nayarit,05-09 años,Límite superior de confianza,"118,133","60,651","58,056"
18 Nayarit,05-09 años,Coeficiente de variación,2.26,2.5,2.63
18 Nayarit,05-09 años,DEFF,1.07,1.19,1.29
18 Nayarit,10-14 años,Valor,"107,470","55,189","52,281"
18 Nayarit,10-14 años,Error estándar,"2,331","1,370","1,259"
18 Nayarit,10-14 años,Límite inferior de confianza,"103,636","52,936","50,209"
18 Nayarit,10-14 años,Límite superior de confianza,"111,304","57,442","54,353"
18 Nayarit,10-14 años,Coeficiente de variación,2.17,2.48,2.41
18 Nayarit,10-14 años,DEFF,1.01,1.18,1.13
18 Nayarit,15-19 años,Valor,"106,321","54,000","52,321"
18 Nayarit,15-19 años,Error estándar,"2,611","1,531","1,394"
18 Nayarit,15-19 años,Límite inferior de confianza,"102,025","51,481","50,028"
18 Nayarit,15-19 años,Límite superior de confianza,"110,617","56,519","54,614"
18 Nayarit,15-19 años,Coeficiente de variación,2.46,2.84,2.66
18 Nayarit,15-19 años,DEFF,1.38,1.68,1.41
18 Nayarit,20-24 años,Valor,"103,206","50,918","52,288"
18 Nayarit,20-24 años,Error estándar,"2,651","1,430","1,593"
18 Nayarit,20-24 años,Límite inferior de confianza,"98,845","48,566","49,667"
18 Nayarit,20-24 años,Límite superior de confianza,"107,567","53,270","54,909"
18 Nayarit,20-24 años,Coeficiente de variación,2.57,2.81,3.05
18 Nayarit,20-24 años,DEFF,1.45,1.54,1.8
18 Nayarit,25-29 años,Valor,"91,932","45,450","46,482"
18 Nayarit,25-29 años,Error estándar,"2,603","1,436","1,416"
18 Nayarit,25-29 años,Límite inferior de confianza,"87,650","43,087","44,153"
18 Nayarit,25-29 años,Límite superior de confianza,"96,214","47,813","48,811"
18 Nayarit,25-29 años,Coeficiente de variación,2.83,3.16,3.05
18 Nayarit,25-29 años,DEFF,1.74,1.97,1.8
18 Nayarit,30-34 años,Valor,"83,752","40,797","42,955"
18 Nayarit,30-34 años,Error estándar,"2,147","1,219","1,174"
18 Nayarit,30-34 años,Límite inferior de confianza,"80,220","38,792","41,024"
18 Nayarit,30-34 años,Límite superior de confianza,"87,284","42,802","44,886"
18 Nayarit,30-34 años,Coeficiente de variación,2.56,2.99,2.73
18 Nayarit,30-34 años,DEFF,1.43,1.76,1.43
18 Nayarit,35-39 años,Valor,"82,714","39,577","43,137"
18 Nayarit,35-39 años,Error estándar,"1,967","1,029","1,254"
18 Nayarit,35-39 años,Límite inferior de confianza,"79,477","37,884","41,074"
18 Nayarit,35-39 años,Límite superior de confianza,"85,951","41,270","45,200"
18 Nayarit,35-39 años,Coeficiente de variación,2.38,2.6,2.91
18 Nayarit,35-39 años,DEFF,1.23,1.31,1.64
18 Nayarit,40-44 años,Valor,"78,852","38,729","40,123"
18 Nayarit,40-44 años,Error estándar,"1,957","1,153","1,110"
18 Nayarit,40-44 años,Límite inferior de confianza,"75,632","36,832","38,298"
18 Nayarit,40-44 años,Límite superior de confianza,"82,072","40,626","41,948"
18 Nayarit,40-44 años,Coeficiente de variación,2.48,2.98,2.77
18 Nayarit,40-44 años,DEFF,1.44,1.77,1.63
18 Nayarit,45-49 años,Valor,"65,097","30,853","34,244"
18 Nayarit,45-49 años,Error estándar,"1,825",860,"1,211"
18 Nayarit,45-49 años,Límite inferior de confianza,"62,094","29,438","32,251"
18 Nayarit,45-49 años,Límite superior de confianza,"68,100","32,268","36,237"
18 Nayarit,45-49 años,Coeficiente de variación,2.8,2.79,3.54
18 Nayarit,45-49 años,DEFF,1.86,1.61,2.5
18 Nayarit,50-54 años,Valor,"57,296","28,098","29,198"
18 Nayarit,50-54 años,Error estándar,"1,648",864,"1,040"
18 Nayarit,50-54 años,Límite inferior de confianza,"54,584","26,677","27,488"
18 Nayarit,50-54 años,Límite superior de confianza,"60,008","29,519","30,908"
18 Nayarit,50-54 años,Coeficiente de variación,2.88,3.07,3.56
18 Nayarit,50-54 años,DEFF,1.87,1.85,2.39
18 Nayarit,55-59 años,Valor,"46,865","23,271","23,594"
18 Nayarit,55-59 años,Error estándar,"1,502",849,898
18 Nayarit,55-59 años,Límite inferior de confianza,"44,395","21,874","22,117"
18 Nayarit,55-59 años,Límite superior de confianza,"49,335","24,668","25,071"
18 Nayarit,55-59 años,Coeficiente de variación,3.2,3.65,3.81
18 Nayarit,55-59 años,DEFF,2.14,2.29,2.53
18 Nayarit,60-64 años,Valor,"38,166","18,738","19,428"
18 Nayarit,60-64 años,Error estándar,"1,384",772,823
18 Nayarit,60-64 años,Límite inferior de confianza,"35,889","17,468","18,074"
18 Nayarit,60-64 años,Límite superior de confianza,"40,443","20,008","20,782"
18 Nayarit,60-64 años,Coeficiente de variación,3.63,4.12,4.24
18 Nayarit,60-64 años,DEFF,2.55,2.77,2.74
18 Nayarit,65-69 años,Valor,"29,807","14,484","15,323"
18 Nayarit,65-69 años,Error estándar,"1,134",638,678
18 Nayarit,65-69 años,Límite inferior de confianza,"27,941","13,434","14,208"
18 Nayarit,65-69 años,Límite superior de confianza,"31,673","15,534","16,438"
18 Nayarit,65-69 años,Coeficiente de variación,3.8,4.41,4.42
18 Nayarit,65-69 años,DEFF,2.5,2.65,2.6
18 Nayarit,70-74 años,Valor,"23,028","11,283","11,745"
18 Nayarit,70-74 años,Error estándar,964,528,560
18 Nayarit,70-74 años,Límite inferior de confianza,"21,441","10,415","10,823"
18 Nayarit,70-74 años,Límite superior de confianza,"24,615","12,151","12,667"
18 Nayarit,70-74 años,Coeficiente de variación,4.19,4.68,4.77
18 Nayarit,70-74 años,DEFF,2.47,2.42,2.55
18 Nayarit,75 años y más,Valor,"37,371","17,554","19,817"
18 Nayarit,75 años y más,Error estándar,"1,349",618,932
18 Nayarit,75 años y más,Límite inferior de confianza,"35,152","16,537","18,284"
18 Nayarit,75 años y más,Límite superior de confianza,"39,590","18,571","21,350"
18 Nayarit,75 años y más,Coeficiente de variación,3.61,3.52,4.7
18 Nayarit,75 años y más,DEFF,2.24,1.82,3.02
18 Nayarit,No especificado,Valor,475,298,177
18 Nayarit,No especificado,Error estándar,77,67,33
18 Nayarit,No especificado,Límite inferior de confianza,348,187,122
18 Nayarit,No especificado,Límite superior de confianza,602,409,232
18 Nayarit,No especificado,Coeficiente de variación,16.27,22.62,18.74
18 Nayarit,No especificado,DEFF,1.85,2.8,1
19 Nuevo León,Total,Valor,"5,119,504","2,541,857","2,577,647"
19 Nuevo León,Total,Error estándar,"65,877","32,855","33,571"
19 Nuevo León,Total,Límite inferior de confianza,"5,011,131","2,487,808","2,522,421"
19 Nuevo León,Total,Límite superior de confianza,"5,227,877","2,595,906","2,632,873"
19 Nuevo León,Total,Coeficiente de variación,1.29,1.29,1.3
19 Nuevo León,Total,DEFF,2.38,1.19,1.22
19 Nuevo León,00-04 años,Valor,"431,487","220,162","211,325"
19 Nuevo León,00-04 años,Error estándar,"7,417","4,098","4,035"
19 Nuevo León,00-04 años,Límite inferior de confianza,"419,285","213,420","204,687"
19 Nuevo León,00-04 años,Límite superior de confianza,"443,689","226,904","217,963"
19 Nuevo León,00-04 años,Coeficiente de variación,1.72,1.86,1.91
19 Nuevo León,00-04 años,DEFF,1.02,1.07,1.12
19 Nuevo León,05-09 años,Valor,"446,965","228,002","218,963"
19 Nuevo León,05-09 años,Error estándar,"7,702","4,160","4,078"
19 Nuevo León,05-09 años,Límite inferior de confianza,"434,294","221,159","212,254"
19 Nuevo León,05-09 años,Límite superior de confianza,"459,636","234,845","225,672"
19 Nuevo León,05-09 años,Coeficiente de variación,1.72,1.82,1.86
19 Nuevo León,05-09 años,DEFF,1.07,1.08,1.11
19 Nuevo León,10-14 años,Valor,"449,679","228,018","221,661"
19 Nuevo León,10-14 años,Error estándar,"7,656","4,120","4,168"
19 Nuevo León,10-14 años,Límite inferior de confianza,"437,085","221,241","214,804"
19 Nuevo León,10-14 años,Límite superior de confianza,"462,273","234,795","228,518"
19 Nuevo León,10-14 años,Coeficiente de variación,1.7,1.81,1.88
19 Nuevo León,10-14 años,DEFF,1.08,1.07,1.18
19 Nuevo León,15-19 años,Valor,"442,103","222,377","219,726"
19 Nuevo León,15-19 años,Error estándar,"7,052","3,948","3,731"
19 Nuevo León,15-19 años,Límite inferior de confianza,"430,501","215,882","213,588"
19 Nuevo León,15-19 años,Límite superior de confianza,"453,705","228,872","225,864"
19 Nuevo León,15-19 años,Coeficiente de variación,1.6,1.78,1.7
19 Nuevo León,15-19 años,DEFF,1.02,1.1,1.04
19 Nuevo León,20-24 años,Valor,"457,576","233,009","224,567"
19 Nuevo León,20-24 años,Error estándar,"7,534","4,111","4,009"
19 Nuevo León,20-24 años,Límite inferior de confianza,"445,182","226,246","217,971"
19 Nuevo León,20-24 años,Límite superior de confianza,"469,970","239,772","231,163"
19 Nuevo León,20-24 años,Coeficiente de variación,1.65,1.76,1.79
19 Nuevo León,20-24 años,DEFF,1.04,1.07,1.08
19 Nuevo León,25-29 años,Valor,"404,419","202,609","201,810"
19 Nuevo León,25-29 años,Error estándar,"6,808","3,817","3,481"
19 Nuevo León,25-29 años,Límite inferior de confianza,"393,220","196,330","196,084"
19 Nuevo León,25-29 años,Límite superior de confianza,"415,618","208,888","207,536"
19 Nuevo León,25-29 años,Coeficiente de variación,1.68,1.88,1.72
19 Nuevo León,25-29 años,DEFF,1.05,1.14,1.01
19 Nuevo León,30-34 años,Valor,"399,622","198,060","201,562"
19 Nuevo León,30-34 años,Error estándar,"7,424","3,642","4,207"
19 Nuevo León,30-34 años,Límite inferior de confianza,"387,409","192,069","194,641"
19 Nuevo León,30-34 años,Límite superior de confianza,"411,835","204,051","208,483"
19 Nuevo León,30-34 años,Coeficiente de variación,1.86,1.84,2.09
19 Nuevo León,30-34 años,DEFF,1.2,1.08,1.34
19 Nuevo León,35-39 años,Valor,"394,106","195,135","198,971"
19 Nuevo León,35-39 años,Error estándar,"7,252","3,818","3,855"
19 Nuevo León,35-39 años,Límite inferior de confianza,"382,176","188,854","192,629"
19 Nuevo León,35-39 años,Límite superior de confianza,"406,036","201,416","205,313"
19 Nuevo León,35-39 años,Coeficiente de variación,1.84,1.96,1.94
19 Nuevo León,35-39 años,DEFF,1.17,1.19,1.18
19 Nuevo León,40-44 años,Valor,"383,239","189,626","193,613"
19 Nuevo León,40-44 años,Error estándar,"6,437","3,521","3,369"
19 Nuevo León,40-44 años,Límite inferior de confianza,"372,650","183,834","188,071"
19 Nuevo León,40-44 años,Límite superior de confianza,"393,828","195,418","199,155"
19 Nuevo León,40-44 años,Coeficiente de variación,1.68,1.86,1.74
19 Nuevo León,40-44 años,DEFF,1.06,1.12,1.05
19 Nuevo León,45-49 años,Valor,"314,635","153,817","160,818"
19 Nuevo León,45-49 años,Error estándar,"5,514","2,862","3,056"
19 Nuevo León,45-49 años,Límite inferior de confianza,"305,564","149,109","155,791"
19 Nuevo León,45-49 años,Límite superior de confianza,"323,706","158,525","165,845"
19 Nuevo León,45-49 años,Coeficiente de variación,1.75,1.86,1.9
19 Nuevo León,45-49 años,DEFF,1.16,1.16,1.21
19 Nuevo León,50-54 años,Valor,"275,167","132,339","142,828"
19 Nuevo León,50-54 años,Error estándar,"5,172","2,644","2,934"
19 Nuevo León,50-54 años,Límite inferior de confianza,"266,659","127,990","138,001"
19 Nuevo León,50-54 años,Límite superior de confianza,"283,675","136,688","147,655"
19 Nuevo León,50-54 años,Coeficiente de variación,1.88,2,2.05
19 Nuevo León,50-54 años,DEFF,1.23,1.26,1.27
19 Nuevo León,55-59 años,Valor,"210,836","100,376","110,460"
19 Nuevo León,55-59 años,Error estándar,"4,196","2,223","2,369"
19 Nuevo León,55-59 años,Límite inferior de confianza,"203,933","96,719","106,562"
19 Nuevo León,55-59 años,Límite superior de confianza,"217,739","104,033","114,358"
19 Nuevo León,55-59 años,Coeficiente de variación,1.99,2.21,2.14
19 Nuevo León,55-59 años,DEFF,1.23,1.3,1.26
19 Nuevo León,60-64 años,Valor,"162,227","79,120","83,107"
19 Nuevo León,60-64 años,Error estándar,"3,392","1,861","1,915"
19 Nuevo León,60-64 años,Límite inferior de confianza,"156,646","76,058","79,957"
19 Nuevo León,60-64 años,Límite superior de confianza,"167,808","82,182","86,257"
19 Nuevo León,60-64 años,Coeficiente de variación,2.09,2.35,2.3
19 Nuevo León,60-64 años,DEFF,1.3,1.38,1.36
19 Nuevo León,65-69 años,Valor,"125,050","58,983","66,067"
19 Nuevo León,65-69 años,Error estándar,"2,847","1,484","1,683"
19 Nuevo León,65-69 años,Límite inferior de confianza,"120,366","56,542","63,298"
19 Nuevo León,65-69 años,Límite superior de confianza,"129,734","61,424","68,836"
19 Nuevo León,65-69 años,Coeficiente de variación,2.28,2.52,2.55
19 Nuevo León,65-69 años,DEFF,1.4,1.42,1.49
19 Nuevo León,70-74 años,Valor,"92,128","43,227","48,901"
19 Nuevo León,70-74 años,Error estándar,"2,342","1,297","1,360"
19 Nuevo León,70-74 años,Límite inferior de confianza,"88,276","41,093","46,664"
19 Nuevo León,70-74 años,Límite superior de confianza,"95,980","45,361","51,138"
19 Nuevo León,70-74 años,Coeficiente de variación,2.54,3,2.78
19 Nuevo León,70-74 años,DEFF,1.56,1.71,1.54
19 Nuevo León,75 años y más,Valor,"125,054","54,212","70,842"
19 Nuevo León,75 años y más,Error estándar,"2,975","1,374","1,952"
19 Nuevo León,75 años y más,Límite inferior de confianza,"120,161","51,952","67,631"
19 Nuevo León,75 años y más,Límite superior de confianza,"129,947","56,472","74,053"
19 Nuevo León,75 años y más,Coeficiente de variación,2.38,2.53,2.76
19 Nuevo León,75 años y más,DEFF,1.41,1.36,1.57
19 Nuevo León,No especificado,Valor,"5,211","2,785","2,426"
19 Nuevo León,No especificado,Error estándar,437,300,251
19 Nuevo León,No especificado,Límite inferior de confianza,"4,492","2,292","2,012"
19 Nuevo León,No especificado,Límite superior de confianza,"5,930","3,278","2,840"
19 Nuevo León,No especificado,Coeficiente de variación,8.39,10.77,10.36
19 Nuevo León,No especificado,DEFF,2.11,2.49,1.87
20 Oaxaca,Total,Valor,"3,967,889","1,888,678","2,079,211"
20 Oaxaca,Total,Error estándar,"27,771","13,165","14,866"
20 Oaxaca,Total,Límite inferior de confianza,"3,922,209","1,867,023","2,054,757"
20 Oaxaca,Total,Límite superior de confianza,"4,013,569","1,910,333","2,103,665"
20 Oaxaca,Total,Coeficiente de variación,0.7,0.7,0.72
20 Oaxaca,Total,DEFF,1.61,0.99,1.07
20 Oaxaca,00-04 años,Valor,"369,238","186,838","182,400"
20 Oaxaca,00-04 años,Error estándar,"2,982","1,631","1,591"
20 Oaxaca,00-04 años,Límite inferior de confianza,"364,332","184,155","179,783"
20 Oaxaca,00-04 años,Límite superior de confianza,"374,144","189,521","185,017"
20 Oaxaca,00-04 años,Coeficiente de variación,0.81,0.87,0.87
